 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.76042917e-07  3.32529140e-09  3.40856150e-09  4.58162371e-01  3.27871617e-09  4.58162371e-01  4.58162371e-01  4.58162371e-01  1.59372383e-07  1.76042917e-07  1.00000000e+00 
 1.77706994e-07  4.58163104e-01  3.40856157e-09  4.58163105e-01  3.27871627e-09  4.58163104e-01  4.58163104e-01  4.58163104e-01  1.59373387e-07  1.77706994e-07  1.00000000e+00 
 1.79247387e-07  3.32529143e-09  4.58163092e-01  4.58163092e-01  3.27871627e-09  4.58163092e-01  4.58163092e-01  4.58163092e-01  1.59373347e-07  1.79247387e-07  1.00000000e+00 
 1.80923408e-07  4.58163867e-01  4.58163867e-01  4.58163867e-01  3.27871634e-09  4.58163867e-01  4.58163867e-01  4.58163867e-01  1.59374409e-07  1.80923408e-07  1.00000000e+00 
 1.82476917e-07  3.32529135e-09  3.40856151e-09  3.64325035e-09  4.58162385e-01  4.58162384e-01  4.58162384e-01  4.58162385e-01  1.59372407e-07  1.82476917e-07  1.00000000e+00 
 1.84117880e-07  4.58163128e-01  3.40856157e-09  3.64325033e-09  4.58163128e-01  4.58163128e-01  4.58163128e-01  4.58163128e-01  1.59373401e-07  1.84117880e-07  1.00000000e+00 
 1.85644311e-07  3.32529144e-09  4.58163133e-01  3.64325033e-09  4.58163133e-01  4.58163132e-01  4.58163132e-01  4.58163133e-01  1.59373410e-07  1.85644311e-07  1.00000000e+00 
 1.87315301e-07  4.58163895e-01  4.58163895e-01  3.64325037e-09  4.58163895e-01  4.58163895e-01  4.58163895e-01  4.58163895e-01  1.59374458e-07  1.87315301e-07  1.00000000e+00 
 1.88941904e-07  3.32529144e-09  3.40856151e-09  4.58163133e-01  4.58163133e-01  4.58163133e-01  4.58163133e-01  4.58163133e-01  1.59373420e-07  1.88941904e-07  1.00000000e+00 
 1.90600360e-07  4.58163873e-01  3.40856162e-09  4.58163873e-01  4.58163873e-01  4.58163873e-01  4.58163873e-01  4.58163873e-01  1.59374411e-07  1.90600360e-07  1.00000000e+00 
 1.92127999e-07  3.32529151e-09  4.58163878e-01  4.58163878e-01  4.58163878e-01  4.58163878e-01  4.58163878e-01  4.58163878e-01  1.59374431e-07  1.92127999e-07  1.00000000e+00 
 1.93793454e-07  4.58164613e-01  4.58164613e-01  4.58164613e-01  4.58164613e-01  4.58164613e-01  4.58164613e-01  4.58164613e-01  1.59375395e-07  1.93793454e-07  1.00000000e+00 
