 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.56940747e-07  3.29172292e-09  3.25873377e-09  3.26643068e-09  4.48372720e-01  4.48372720e-01  3.26742607e-09  4.48372720e-01  1.56940747e-07  4.47613388e-07  1.00000000e+00 
 1.56941695e-07  4.48373490e-01  3.25873379e-09  3.26643070e-09  4.48373490e-01  4.48373490e-01  3.26742610e-09  4.48373490e-01  1.56941695e-07  4.53113984e-07  1.00000000e+00 
 1.56941599e-07  3.29172293e-09  4.48373431e-01  3.26643069e-09  4.48373431e-01  4.48373431e-01  3.26742608e-09  4.48373431e-01  1.56941599e-07  4.58187571e-07  1.00000000e+00 
 1.56942491e-07  4.48374119e-01  4.48374119e-01  3.26643071e-09  4.48374119e-01  4.48374119e-01  3.26742610e-09  4.48374119e-01  1.56942491e-07  4.63814359e-07  1.00000000e+00 
 1.56941584e-07  3.29172305e-09  3.25873379e-09  4.48373418e-01  4.48373418e-01  4.48373418e-01  3.26742598e-09  4.48373418e-01  1.56941584e-07  4.68759140e-07  1.00000000e+00 
 1.56942557e-07  4.48374114e-01  3.25873381e-09  4.48374114e-01  4.48374114e-01  4.48374114e-01  3.26742611e-09  4.48374114e-01  1.56942557e-07  4.74331557e-07  1.00000000e+00 
 1.56942445e-07  3.29172305e-09  4.48374058e-01  4.48374058e-01  4.48374058e-01  4.48374058e-01  3.26742610e-09  4.48374058e-01  1.56942445e-07  4.79441411e-07  1.00000000e+00 
 1.56943584e-07  4.48374888e-01  4.48374888e-01  4.48374888e-01  4.48374888e-01  4.48374888e-01  3.26742601e-09  4.48374888e-01  1.56943584e-07  4.85063993e-07  1.00000000e+00 
 1.56939650e-07  3.29172299e-09  3.25873374e-09  3.26643065e-09  3.31550632e-09  3.23997198e-09  4.48371945e-01  4.48371945e-01  1.56939650e-07  4.91163149e-07  1.00000000e+00 
 1.56940579e-07  4.48372618e-01  3.25873377e-09  3.26643068e-09  3.31550636e-09  3.23997201e-09  4.48372618e-01  4.48372618e-01  1.56940579e-07  4.96470449e-07  1.00000000e+00 
 1.56940548e-07  3.29172301e-09  4.48372611e-01  3.26643067e-09  3.31550635e-09  3.23997200e-09  4.48372611e-01  4.48372611e-01  1.56940548e-07  5.01435665e-07  1.00000000e+00 
 1.56941539e-07  4.48373407e-01  4.48373407e-01  3.26643059e-09  3.31550639e-09  3.23997191e-09  4.48373407e-01  4.48373407e-01  1.56941539e-07  5.06963460e-07  1.00000000e+00 
 1.56940583e-07  3.29172290e-09  3.25873387e-09  4.48372598e-01  3.31550636e-09  3.23997200e-09  4.48372598e-01  4.48372598e-01  1.56940583e-07  5.11881865e-07  1.00000000e+00 
 1.56941533e-07  4.48373344e-01  3.25873390e-09  4.48373344e-01  3.31550639e-09  3.23997191e-09  4.48373344e-01  4.48373344e-01  1.56941533e-07  5.17415401e-07  1.00000000e+00 
 1.56941637e-07  3.29172294e-09  4.48373437e-01  4.48373437e-01  3.31550639e-09  3.23997202e-09  4.48373437e-01  4.48373437e-01  1.56941637e-07  5.22490637e-07  1.00000000e+00 
 1.56942662e-07  4.48374212e-01  4.48374212e-01  4.48374212e-01  3.31550642e-09  3.23997204e-09  4.48374212e-01  4.48374212e-01  1.56942662e-07  5.28075390e-07  1.00000000e+00 
 1.56940566e-07  3.29172303e-09  3.25873388e-09  3.26643068e-09  4.48372634e-01  3.23997201e-09  4.48372634e-01  4.48372634e-01  1.56940566e-07  5.32504032e-07  1.00000000e+00 
 1.56941719e-07  4.48373482e-01  3.25873378e-09  3.26643069e-09  4.48373482e-01  3.23997202e-09  4.48373482e-01  4.48373482e-01  1.56941719e-07  5.38004826e-07  1.00000000e+00 
 1.56941509e-07  3.29172304e-09  4.48373395e-01  3.26643069e-09  4.48373395e-01  3.23997201e-09  4.48373395e-01  4.48373395e-01  1.56941509e-07  5.43092483e-07  1.00000000e+00 
 1.56942764e-07  4.48374280e-01  4.48374280e-01  3.26643072e-09  4.48374280e-01  3.23997193e-09  4.48374280e-01  4.48374280e-01  1.56942764e-07  5.48744879e-07  1.00000000e+00 
 1.56941514e-07  3.29172304e-09  3.25873379e-09  4.48373334e-01  4.48373334e-01  3.23997202e-09  4.48373334e-01  4.48373334e-01  1.56941514e-07  5.53697362e-07  1.00000000e+00 
 1.56942447e-07  4.48374050e-01  3.25873381e-09  4.48374050e-01  4.48374050e-01  3.23997204e-09  4.48374050e-01  4.48374050e-01  1.56942447e-07  5.59280295e-07  1.00000000e+00 
 1.56942383e-07  3.29172306e-09  4.48374035e-01  4.48374035e-01  4.48374035e-01  3.23997204e-09  4.48374035e-01  4.48374035e-01  1.56942383e-07  5.64397396e-07  1.00000000e+00 
 1.56943750e-07  4.48375011e-01  4.48375011e-01  4.48375011e-01  4.48375011e-01  3.23997205e-09  4.48375011e-01  4.48375011e-01  1.56943750e-07  5.70043483e-07  1.00000000e+00 
 1.56940664e-07  3.29172292e-09  3.25873377e-09  3.26643057e-09  3.31550636e-09  4.48372670e-01  4.48372670e-01  4.48372670e-01  1.56940664e-07  5.71252883e-07  1.00000000e+00 
 1.56941589e-07  4.48373397e-01  3.25873389e-09  3.26643069e-09  3.31550638e-09  4.48373397e-01  4.48373397e-01  4.48373397e-01  1.56941589e-07  5.76662245e-07  1.00000000e+00 
 1.56941636e-07  3.29172304e-09  4.48373414e-01  3.26643069e-09  3.31550638e-09  4.48373414e-01  4.48373414e-01  4.48373414e-01  1.56941636e-07  5.81716762e-07  1.00000000e+00 
 1.56942485e-07  4.48374122e-01  4.48374122e-01  3.26643071e-09  3.31550641e-09  4.48374122e-01  4.48374122e-01  4.48374122e-01  1.56942485e-07  5.87314418e-07  1.00000000e+00 
 1.56941632e-07  3.29172294e-09  3.25873379e-09  4.48373421e-01  3.31550639e-09  4.48373421e-01  4.48373421e-01  4.48373421e-01  1.56941632e-07  5.92232851e-07  1.00000000e+00 
