 v-sweep         i(viout)        v(vout)        
 3.80000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202940e-09  5.94323065e-07  8.70596648e-08  3.80000000e-01 
 3.90000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323068e-07  8.68795742e-08  3.90000000e-01 
 4.00000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.66999392e-08  4.00000000e-01 
 4.10000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323064e-07  8.65207550e-08  4.10000000e-01 
 4.20000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323063e-07  8.63420087e-08  4.20000000e-01 
 4.30000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323066e-07  8.61637175e-08  4.30000000e-01 
 4.40000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323075e-07  8.59858562e-08  4.40000000e-01 
 4.50000000e-01  6.24292000e-01  6.24291999e-01  6.24292000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323067e-07  8.58084088e-08  4.50000000e-01 
 4.60000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  8.56313980e-08  4.60000000e-01 
 4.70000000e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  6.24292002e-01  3.29202939e-09  5.94323080e-07  8.54547957e-08  4.70000000e-01 
 4.80000000e-01  6.24292000e-01  6.24291999e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323067e-07  8.52786015e-08  4.80000000e-01 
 4.90000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  8.51028221e-08  4.90000000e-01 
 5.00000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323076e-07  8.49274477e-08  5.00000000e-01 
 5.10000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323067e-07  8.47524610e-08  5.10000000e-01 
 5.20000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323064e-07  8.45778803e-08  5.20000000e-01 
 5.30000000e-01  6.24291998e-01  6.24291997e-01  6.24291998e-01  6.24291997e-01  6.24291997e-01  6.24291997e-01  3.29202939e-09  5.94323055e-07  8.44036818e-08  5.30000000e-01 
 5.40000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323068e-07  8.42298635e-08  5.40000000e-01 
 5.50000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323068e-07  8.40564205e-08  5.50000000e-01 
